variant,lane,source_status,measure,income_key,liq_key,profile_year,sample_end_year,pass_count,passing_specs,estimated_paths_available,K_Y_h8,K_G_h8,dsa_margin_2036_cut_pp,direct_dy_margin_2036_cut_pp,dsa_margin_2036_expansion_pp,direct_dy_margin_2036_expansion_pp,best_spec_id,best_features,best_p_wald_y_h8,best_q_wald_y_h8_bh,best_p_wald_y_h8_bonferroni,best_gate_status,best_gate_reason,best_time_ok_count,best_finite_run_share,best_h8_design_nobs,best_h8_condition_number,best_max_abs_feature_corr_h8,best_mahalanobis_support_p,best_max_abs_poland_z,best_robustness_score,operator_reading
tiva2022_cons_realppp_credit,tiva2022,official OECD TiVA API returns through 2022,cons,realppp,credit,2022,2022,1,F14,True,-0.573261774,0.673275591,-13.730286636,2.925554151,14.132232031,-2.925554151,F14,debt+liq+log_gdp_pc,0.004103714,0.061555707,0.061555707,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,71.298482111,0.634736709,0.728121749,0.956346844,9,"passes local gate with F14; diagnostic only, not a manuscript promotion"
tiva2022_cons_realppp_deposits,tiva2022,official OECD TiVA API returns through 2022,cons,realppp,deposits,2022,2022,0,,False,,,,,,,F02,debt,0.119829641,0.971110196,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p,3,1.000000000,351,70.735072262,0.000000000,0.712772164,0.376724387,8,no specification passes; best raw-p candidate fails failed_output_interaction_p
tiva2022_cons_realppp_networth,tiva2022,official OECD TiVA API returns through 2022,cons,realppp,networth,2022,2022,1,F03,True,2.157943546,0.746007664,6.503118288,4.309319506,-6.097917796,-4.309319506,F03,liq,0.013043441,0.195651611,0.195651611,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,68.369588093,0.000000000,0.441306640,0.768793658,9,"passes local gate with F03; diagnostic only, not a manuscript promotion"
tiva2022_gfcf_paper_credit,tiva2022,official OECD TiVA API returns through 2022,gfcf,paper,credit,2022,2022,1,F01,True,1.838266012,0.694029346,4.890650642,1.729581956,-4.636256608,-1.729581956,F01,trade,0.003771210,0.056568151,0.056568151,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.880814083,0.000000000,0.871863902,0.161130026,9,"passes local gate with F01; diagnostic only, not a manuscript promotion"
tiva2022_gfcf_paper_deposits,tiva2022,official OECD TiVA API returns through 2022,gfcf,paper,deposits,2022,2022,1,F01,True,1.838266012,0.694029346,4.890650642,1.729581956,-4.636256608,-1.729581956,F01,trade,0.003771210,0.056568151,0.056568151,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.880814083,0.000000000,0.871863902,0.161130026,9,"passes local gate with F01; diagnostic only, not a manuscript promotion"
tiva2022_gfcf_paper_networth,tiva2022,official OECD TiVA API returns through 2022,gfcf,paper,networth,2022,2022,2,F01+F03,True,1.998104779,0.720018505,5.696884465,3.019450731,-5.367087202,-3.019450731,F01,trade,0.003771210,0.056568151,0.056568151,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.880814083,0.000000000,0.871863902,0.161130026,9,"passes local gate with F01+F03; diagnostic only, not a manuscript promotion"
tiva2022_gfcf_realppp_credit,tiva2022,official OECD TiVA API returns through 2022,gfcf,realppp,credit,2022,2022,2,F01+F14,True,0.632502119,0.683652469,-4.419817997,2.327568053,4.747987712,-2.327568053,F01,trade,0.003771210,0.030777853,0.056568151,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.880814083,0.000000000,0.871863902,0.161130026,9,"passes local gate with F01+F14; diagnostic only, not a manuscript promotion"
tiva2022_gfcf_realppp_deposits,tiva2022,official OECD TiVA API returns through 2022,gfcf,realppp,deposits,2022,2022,1,F01,True,1.838266012,0.694029346,4.890650642,1.729581956,-4.636256608,-1.729581956,F01,trade,0.003771210,0.056568151,0.056568151,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.880814083,0.000000000,0.871863902,0.161130026,9,"passes local gate with F01; diagnostic only, not a manuscript promotion"
tiva2022_gfcf_realppp_networth,tiva2022,official OECD TiVA API returns through 2022,gfcf,realppp,networth,2022,2022,2,F01+F03,True,1.998104779,0.720018505,5.696884465,3.019450731,-5.367087202,-3.019450731,F01,trade,0.003771210,0.056568151,0.056568151,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.880814083,0.000000000,0.871863902,0.161130026,9,"passes local gate with F01+F03; diagnostic only, not a manuscript promotion"
tiva_cf2024_avg_paper_credit,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,avg,paper,credit,2024,2024,1,F01,True,1.514196204,0.710076287,2.045929408,1.630790104,-1.848239836,-1.630790104,F01,trade,0.023184423,0.347766343,0.347766343,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.921293449,0.000000000,0.886751114,0.142288206,9,"passes local gate with F01; diagnostic only, not a manuscript promotion"
tiva_cf2024_avg_paper_deposits,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,avg,paper,deposits,2024,2024,1,F01,True,1.514196204,0.710076287,2.045929408,1.630790104,-1.848239836,-1.630790104,F01,trade,0.023184423,0.347766343,0.347766343,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.921293449,0.000000000,0.886751114,0.142288206,9,"passes local gate with F01; diagnostic only, not a manuscript promotion"
tiva_cf2024_avg_paper_networth,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,avg,paper,networth,2024,2024,2,F03+F01,True,1.809375197,0.728128233,4.158201784,2.830038170,-3.861520716,-2.830038170,F03,liq,0.013043441,0.173883172,0.195651611,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,68.369575168,0.000000000,0.498864470,0.675408538,9,"passes local gate with F03+F01; diagnostic only, not a manuscript promotion"
tiva_cf2024_avg_realppp_credit,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,avg,realppp,credit,2024,2024,2,F14+F01,True,0.195241590,0.684066678,-8.093533675,2.290481154,8.513767122,-2.290481154,F14,debt+liq+log_gdp_pc,0.004103714,0.061555706,0.061555706,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,71.298868759,0.634736709,0.546122761,1.212055371,9,"passes local gate with F14+F01; diagnostic only, not a manuscript promotion"
tiva_cf2024_avg_realppp_deposits,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,avg,realppp,deposits,2024,2024,1,F01,True,1.514196204,0.710076287,2.045929408,1.630790104,-1.848239836,-1.630790104,F01,trade,0.023184423,0.347766343,0.347766343,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.921293449,0.000000000,0.886751114,0.142288206,9,"passes local gate with F01; diagnostic only, not a manuscript promotion"
tiva_cf2024_avg_realppp_networth,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,avg,realppp,networth,2024,2024,2,F03+F01,True,1.809375197,0.728128233,4.158201784,2.830038170,-3.861520716,-2.830038170,F03,liq,0.013043441,0.173883172,0.195651611,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,68.369575168,0.000000000,0.498864470,0.675408538,9,"passes local gate with F03+F01; diagnostic only, not a manuscript promotion"
