country,year,measure,domestic_value_added_share_pct,import_content_share
DNK,2008,GFCF_VA_SH,62.235000000,0.377650000
EST,2008,GFCF_VA_SH,54.222000000,0.457780000
FIN,2008,GFCF_VA_SH,60.459000000,0.395410000
FRA,2008,GFCF_VA_SH,74.672000000,0.253280000
DEU,2008,GFCF_VA_SH,69.365000000,0.306350000
GRC,2008,GFCF_VA_SH,61.743000000,0.382570000
HUN,2008,GFCF_VA_SH,44.875000000,0.551250000
IRL,2008,GFCF_VA_SH,48.693000000,0.513070000
ITA,2008,GFCF_VA_SH,73.885000000,0.261150000
LVA,2008,GFCF_VA_SH,64.974000000,0.350260000
LTU,2008,GFCF_VA_SH,61.899000000,0.381010000
LUX,2008,GFCF_VA_SH,45.670000000,0.543300000
NLD,2008,GFCF_VA_SH,61.809000000,0.381910000
POL,2008,GFCF_VA_SH,58.678000000,0.413220000
PRT,2008,GFCF_VA_SH,62.796000000,0.372040000
SVK,2008,GFCF_VA_SH,50.190000000,0.498100000
SVN,2008,GFCF_VA_SH,52.427000000,0.475730000
ESP,2008,GFCF_VA_SH,73.164000000,0.268360000
SWE,2008,GFCF_VA_SH,56.970000000,0.430300000
BGR,2008,GFCF_VA_SH,49.465000000,0.505350000
HRV,2008,GFCF_VA_SH,59.169000000,0.408310000
CYP,2008,GFCF_VA_SH,61.256000000,0.387440000
MLT,2008,GFCF_VA_SH,40.199000000,0.598010000
ROU,2008,GFCF_VA_SH,61.634000000,0.383660000
BGR,2009,GFCF_VA_SH,62.264000000,0.377360000
FRA,2009,GFCF_VA_SH,77.435000000,0.225650000
DEU,2009,GFCF_VA_SH,72.197000000,0.278030000
FIN,2009,GFCF_VA_SH,62.246000000,0.377540000
AUT,2009,GFCF_VA_SH,62.298000000,0.377020000
CZE,2009,GFCF_VA_SH,59.857000000,0.401430000
HUN,2009,GFCF_VA_SH,46.260000000,0.537400000
HRV,2009,GFCF_VA_SH,63.029000000,0.369710000
EST,2009,GFCF_VA_SH,57.803000000,0.421970000
GRC,2009,GFCF_VA_SH,65.919000000,0.340810000
BEL,2009,GFCF_VA_SH,51.390000000,0.486100000
IRL,2009,GFCF_VA_SH,38.759000000,0.612410000
CYP,2009,GFCF_VA_SH,61.592000000,0.384080000
DNK,2009,GFCF_VA_SH,64.924000000,0.350760000
BGR,2004,GFCF_VA_SH,47.410000000,0.525900000
PRT,2002,GFCF_VA_SH,65.376000000,0.346240000
POL,2002,GFCF_VA_SH,60.767000000,0.392330000
ESP,2002,GFCF_VA_SH,73.095000000,0.269050000
LVA,2002,GFCF_VA_SH,56.518000000,0.434820000
ITA,2002,GFCF_VA_SH,74.626000000,0.253740000
ROU,2002,GFCF_VA_SH,67.313000000,0.326870000
SVN,2002,GFCF_VA_SH,52.486000000,0.475140000
SVK,2002,GFCF_VA_SH,45.562000000,0.544380000
LUX,2002,GFCF_VA_SH,45.983000000,0.540170000
IRL,2002,GFCF_VA_SH,51.986000000,0.480140000
SWE,2002,GFCF_VA_SH,57.232000000,0.427680000
BGR,2002,GFCF_VA_SH,54.376000000,0.456240000
HRV,2002,GFCF_VA_SH,53.206000000,0.467940000
LTU,2002,GFCF_VA_SH,55.518000000,0.444820000
NLD,2002,GFCF_VA_SH,64.070000000,0.359300000
MLT,2002,GFCF_VA_SH,58.925000000,0.410750000
CYP,2002,GFCF_VA_SH,50.827000000,0.491730000
NLD,2009,GFCF_VA_SH,64.940000000,0.350600000
LUX,2009,GFCF_VA_SH,49.668000000,0.503320000
LTU,2009,GFCF_VA_SH,63.204000000,0.367960000
SWE,2009,GFCF_VA_SH,60.700000000,0.393000000
SVK,2009,GFCF_VA_SH,57.407000000,0.425930000
POL,2009,GFCF_VA_SH,63.122000000,0.368780000
SVN,2009,GFCF_VA_SH,58.317000000,0.416830000
PRT,2009,GFCF_VA_SH,65.904000000,0.340960000
LVA,2009,GFCF_VA_SH,69.885000000,0.301150000
ESP,2009,GFCF_VA_SH,78.538000000,0.214620000
ITA,2009,GFCF_VA_SH,77.559000000,0.224410000
AUT,2010,GFCF_VA_SH,58.875000000,0.411250000
MLT,2010,GFCF_VA_SH,38.431000000,0.615690000
BEL,2010,GFCF_VA_SH,50.501000000,0.494990000
ROU,2000,GFCF_VA_SH,69.359000000,0.306410000
MLT,2000,GFCF_VA_SH,48.416000000,0.515840000
HRV,2000,GFCF_VA_SH,53.874000000,0.461260000
BGR,2000,GFCF_VA_SH,56.095000000,0.439050000
