spec_id,features,excluded_country,status,K_Y_h8,K_G_h8
F02,debt,LVA,OK,1.244326180,0.692683723
F02,debt,MLT,OK,1.347637942,0.707551596
F02,debt,NLD,OK,1.563076971,0.724780222
F02,debt,POL,OK,1.534963952,0.727604786
F02,debt,PRT,OK,1.516483974,0.723394210
F02,debt,ROU,OK,1.553222042,0.739732860
F02,debt,SVK,OK,1.645359299,0.763668580
F02,debt,SVN,OK,1.545324130,0.716122531
F02,debt,SWE,OK,1.532509627,0.720264539
F03,liq,AUT,OK,2.172796091,0.746420235
F03,liq,BEL,OK,2.118475837,0.743282859
F03,liq,BGR,OK,2.310875520,0.740209129
F03,liq,CYP,OK,2.003856047,0.740893042
F03,liq,CZE,OK,2.421736214,0.757286191
F03,liq,DEU,OK,2.172382919,0.743289341
F03,liq,DNK,OK,2.133119459,0.752758298
F03,liq,ESP,OK,2.026828061,0.741894024
F03,liq,EST,OK,2.215642069,0.772311226
F03,liq,FIN,OK,2.212083120,0.750742490
F03,liq,FRA,OK,2.172916083,0.746573814
F03,liq,GRC,OK,1.945768786,0.734063307
F03,liq,HRV,OK,2.014763976,0.707122325
F03,liq,HUN,OK,2.108818643,0.698963120
F03,liq,IRL,OK,2.332129897,0.744748603
F03,liq,ITA,OK,2.194467858,0.750962770
F03,liq,LTU,OK,2.040629076,0.779166459
F03,liq,LUX,OK,2.387288166,0.746287749
F03,liq,LVA,OK,1.891925285,0.713305093
F03,liq,MLT,OK,2.135459149,0.741076691
F03,liq,NLD,OK,2.163004912,0.745704494
F03,liq,POL,OK,1.987851808,0.735638851
F03,liq,PRT,OK,2.102382882,0.743178483
F03,liq,ROU,OK,2.200618041,0.765061176
F03,liq,SVK,OK,2.364360116,0.802645268
F03,liq,SVN,OK,2.232543454,0.748158315
F03,liq,SWE,OK,2.166076793,0.744634918
F04,log_gdp_pc,AUT,OK,0.596179312,0.689445525
F04,log_gdp_pc,BEL,OK,0.723389598,0.693252816
F04,log_gdp_pc,BGR,OK,0.756165376,0.698722891
F04,log_gdp_pc,CYP,OK,0.529406460,0.672728784
F04,log_gdp_pc,CZE,OK,0.779549022,0.698302887
F04,log_gdp_pc,DEU,OK,0.644749770,0.690529084
F04,log_gdp_pc,DNK,OK,0.632169980,0.674634617
F04,log_gdp_pc,ESP,OK,0.447371775,0.695293747
F04,log_gdp_pc,EST,OK,0.729882489,0.715187567
F04,log_gdp_pc,FIN,OK,0.614726107,0.688874860
F04,log_gdp_pc,FRA,OK,0.598343599,0.689496381
F04,log_gdp_pc,GRC,OK,0.686087653,0.697639994
F04,log_gdp_pc,HRV,OK,0.585424542,0.673471743
F04,log_gdp_pc,HUN,OK,0.609714554,0.652521732
F04,log_gdp_pc,IRL,OK,0.792920566,0.684782274
F04,log_gdp_pc,ITA,OK,0.512602386,0.685809066
F04,log_gdp_pc,LTU,OK,0.640306369,0.707699323
F04,log_gdp_pc,LUX,OK,1.343582600,0.726359223
F04,log_gdp_pc,LVA,OK,0.675631512,0.691147001
