spec_id,features,spec_version,model_id,profile_label,excluded_country,horizon,mu_Y_incremental,se_Y_incremental,mu_G_incremental,se_G_incremental,beta_scale_action,se_beta_scale_action,action_denom_t,nobs,country_n,year_min_effective,year_max_effective,rank_X,status_Y,status_G,z_trade,K_Y_cumulative,K_G_cumulative,ci95_low_K_Y_cumulative_naive,ci95_high_K_Y_cumulative_naive,z_debt,z_liq,z_log_gdp_pc
F09,debt+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F09,poland_2024,,3,-0.337688505,0.340461611,-0.117844356,0.087750156,0.041858044,0.000888744,47.097978986,481,27,2004,2021,10,OK,OK,,1.094648329,0.629513657,-0.123961553,2.313258211,-0.376724387,,-0.067980512
F09,debt+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F09,poland_2024,,4,-0.007889504,0.497330255,-0.053863820,0.058221086,0.041917862,0.000848319,49.412826605,456,27,2004,2020,10,OK,OK,,1.086758826,0.575649837,-0.473736742,2.647254393,-0.376724387,,-0.067980512
F09,debt+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F09,poland_2024,,5,-0.046828914,0.296273805,0.026653087,0.047885621,0.042007224,0.000843592,49.795686158,431,27,2004,2019,10,OK,OK,,1.039929911,0.602302924,-0.625105413,2.704965236,-0.376724387,,-0.067980512
F09,debt+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F09,poland_2024,,6,-0.309883395,0.139427249,0.034076607,0.034809625,0.042234959,0.000806476,52.369780783,405,27,2004,2018,10,OK,OK,,0.730046516,0.636379531,-0.957265082,2.417358115,-0.376724387,,-0.067980512
F09,debt+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F09,poland_2024,,7,-0.168913397,0.395988284,0.002842449,0.064394687,0.042643495,0.000646580,65.952358283,378,27,2004,2017,10,OK,OK,,0.561133120,0.639221981,-1.296119419,2.418385658,-0.376724387,,-0.067980512
F09,debt+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F09,poland_2024,,8,0.094567754,0.141909440,0.095393878,0.046447249,0.042987581,0.000538896,79.769754904,351,27,2004,2016,10,OK,OK,,0.655700874,0.734615859,-1.222262757,2.533664505,-0.376724387,,-0.067980512
F10,liq+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F10,poland_2024,,0,1.030425489,0.397548569,1.000000000,0.000000000,0.042509648,0.001280454,33.198893657,531,27,2004,2023,10,OK,OK,,1.030425489,1.000000000,0.251244611,1.809606367,,0.768793658,-0.067980512
F10,liq+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F10,poland_2024,,1,0.897639377,0.484029438,-0.038869800,0.074392083,0.042509648,0.001280454,33.198893657,531,27,2004,2023,10,OK,OK,,1.928064867,0.961130200,0.700417895,3.155711838,,0.768793658,-0.067980512
F10,liq+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F10,poland_2024,,2,-0.184588687,0.265958129,-0.230680180,0.039737545,0.042498396,0.001408773,30.166963300,506,27,2004,2022,10,OK,OK,,1.743476180,0.730450020,0.409745403,3.077206956,,0.768793658,-0.067980512
F10,liq+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F10,poland_2024,,3,-0.804922166,0.377715211,-0.115896339,0.079415005,0.042433570,0.001525418,27.817668658,481,27,2004,2021,10,OK,OK,,0.938554013,0.614553681,-0.586862006,2.463970032,,0.768793658,-0.067980512
F10,liq+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F10,poland_2024,,4,-0.228192777,0.513911563,-0.044665070,0.053033169,0.042465636,0.001520997,27.919605353,456,27,2004,2020,10,OK,OK,,0.710361236,0.569888611,-1.117600163,2.538322634,,0.768793658,-0.067980512
