spec_id,features,draw_id,status,K_Y_h8,K_G_h8
F13,trade+liq+log_gdp_pc,10,OK,0.747500752,0.728445178
F13,trade+liq+log_gdp_pc,11,OK,-0.007823803,0.577970714
F13,trade+liq+log_gdp_pc,12,OK,0.587424624,0.775052351
F13,trade+liq+log_gdp_pc,13,OK,0.502313535,0.584179185
F13,trade+liq+log_gdp_pc,14,OK,0.368021917,0.673403849
F13,trade+liq+log_gdp_pc,15,OK,0.591108320,0.570997770
F13,trade+liq+log_gdp_pc,16,OK,-0.722615130,0.659123567
F13,trade+liq+log_gdp_pc,17,OK,-0.251039680,0.690374209
F13,trade+liq+log_gdp_pc,18,OK,0.808977403,0.673964020
F14,debt+liq+log_gdp_pc,0,OK,1.792472111,0.804370866
F14,debt+liq+log_gdp_pc,1,OK,0.741532787,0.762339190
F14,debt+liq+log_gdp_pc,2,OK,1.721912437,0.718499037
F14,debt+liq+log_gdp_pc,3,OK,0.706187111,0.698841424
F14,debt+liq+log_gdp_pc,4,OK,0.622229852,0.640988945
F14,debt+liq+log_gdp_pc,5,OK,0.367979134,0.881278124
F14,debt+liq+log_gdp_pc,6,OK,0.075146893,0.665332999
F14,debt+liq+log_gdp_pc,7,OK,0.719383978,0.638372929
F14,debt+liq+log_gdp_pc,8,OK,0.015241488,0.625960047
F14,debt+liq+log_gdp_pc,9,OK,0.971977019,0.479209505
F14,debt+liq+log_gdp_pc,10,OK,2.358447011,0.765688666
F14,debt+liq+log_gdp_pc,11,OK,2.396464579,0.669982800
F14,debt+liq+log_gdp_pc,12,OK,-0.063321383,0.645669185
F14,debt+liq+log_gdp_pc,13,OK,0.474090414,0.609591603
F14,debt+liq+log_gdp_pc,14,OK,1.621707776,0.930840376
F14,debt+liq+log_gdp_pc,15,OK,0.308092712,0.592771460
F14,debt+liq+log_gdp_pc,16,OK,0.966373397,0.583095167
F14,debt+liq+log_gdp_pc,17,OK,1.828110455,0.705390637
F14,debt+liq+log_gdp_pc,18,OK,-0.119405309,0.666674112
F15,trade+debt+liq+log_gdp_pc,0,OK,0.262186386,0.501272659
F15,trade+debt+liq+log_gdp_pc,1,OK,0.888536992,0.841843988
F15,trade+debt+liq+log_gdp_pc,2,OK,0.341350965,0.682661706
F15,trade+debt+liq+log_gdp_pc,3,OK,-0.209958394,0.619866641
F15,trade+debt+liq+log_gdp_pc,4,OK,0.218941338,0.681392441
F15,trade+debt+liq+log_gdp_pc,5,OK,-0.028173868,0.693113401
F15,trade+debt+liq+log_gdp_pc,6,OK,0.075290207,0.380339770
F15,trade+debt+liq+log_gdp_pc,7,OK,0.489101793,0.676741271
F15,trade+debt+liq+log_gdp_pc,8,OK,2.156247657,0.735417956
F15,trade+debt+liq+log_gdp_pc,9,OK,-0.443248332,0.743975080
F15,trade+debt+liq+log_gdp_pc,10,OK,-1.676925999,0.638249635
F15,trade+debt+liq+log_gdp_pc,11,OK,-0.065854666,0.754994582
F15,trade+debt+liq+log_gdp_pc,12,OK,1.314776102,0.836637912
F15,trade+debt+liq+log_gdp_pc,13,OK,0.297427475,0.585170739
F15,trade+debt+liq+log_gdp_pc,14,OK,0.443540829,0.533483424
F15,trade+debt+liq+log_gdp_pc,15,OK,0.606039001,0.707859890
F15,trade+debt+liq+log_gdp_pc,16,OK,-0.828381577,0.651369942
F15,trade+debt+liq+log_gdp_pc,17,OK,-0.596873015,0.579966158
F15,trade+debt+liq+log_gdp_pc,18,OK,0.369811268,0.817567078
