country,year,tiva2022_gfcf_import_content_raw,trade_z,liq_fa_net_worth_raw,liq_z,real_ppp_gdp_pc_2020pps,log_real_ppp_gdp_pc_raw,log_gdp_pc_z
GRC,2015,0.38144,-0.4748761313,-0.750761991276,0.610655442602,19398.998472,9.87297671856,-0.879028518477
GRC,2016,0.37856,-0.503434563105,-0.734988380505,0.637301096803,19473.709416,9.87682059979,-0.869009725407
GRC,2017,0.42822,-0.0109999369093,-0.831798104054,0.473764766766,19799.720808,9.89342311598,-0.825736490767
GRC,2018,0.40471,-0.244127968763,-0.698187920541,0.699466465586,20249.684448,9.9158944896,-0.767166511834
GRC,2019,0.40435,-0.247697772739,-0.832482455022,0.472608723326,20732.664288,9.93946572047,-0.70572983605
GRC,2020,0.38288,-0.460596915397,-0.975849874209,0.230424563295,18866.4,9.84513784115,-0.951588500402
GRC,2021,0.39349,-0.355386859337,-0.976317434793,0.229634734141,20611.353336,9.93359733578,-0.721025348188
GRC,2022,0.40875,-0.204066835259,-0.958461649196,0.259797713017,21875.213472,9.9931094699,-0.56591135736
GRC,2023,,,-0.996162648173,0.196111104014,22408.377936,10.0171901829,-0.503146753916
GRC,2024,,,-1.01235384563,0.168760039322,22912.488144,10.0394373747,-0.445161088418
HRV,1995,0.40649,-0.226477271328,-0.416179131398,1.17585128236,10884.174455,9.29506512835,-2.38531247931
HRV,1996,0.40771,-0.214379602299,-0.511237537024,1.01527337525,11708.497297,9.36807012188,-2.19503034501
HRV,1997,0.43824,0.0883596070793,-0.53225033364,0.979777399054,12491.381644,9.43279421702,-2.02633176199
HRV,1998,0.42643,-0.028749795566,-0.472922598001,1.07999708567,12780.642553,9.45568700468,-1.96666339842
HRV,1999,0.43439,0.0501825367843,-0.537291168107,0.971262143161,12726.873579,9.45147106665,-1.97765193013
HRV,2000,0.46126,0.316628739077,-0.555800992751,0.939994325415,13231.614662,9.49036429516,-1.87627959691
HRV,2001,0.46126,0.316628739077,-0.624687216857,0.823627912339,14175.805931,9.55929198278,-1.69662465994
HRV,2002,0.46794,0.38286843507,-0.528182358688,0.986649246942,14981.127707,9.61454653508,-1.55260774231
HRV,2003,0.4586,0.290251854146,-0.445127239548,1.1269505398,15814.951082,9.6687110426,-1.41143194604
HRV,2004,0.45827,0.286979533835,-0.409041289601,1.18790891881,16464.019411,9.70893263707,-1.30659732486
HRV,2005,0.445,0.155392592844,-0.44135588803,1.133321315,17163.016073,9.75051211943,-1.19822346901
HRV,2006,0.42391,-0.0537384233955,-0.456451096723,1.10782165505,18027.362437,9.79964601803,-1.07015958406
HRV,2007,0.41399,-0.152106355169,-0.547878351305,0.953377688768,18938.807188,9.8489683863,-0.941604466823
HRV,2008,0.40831,-0.208429929007,-0.411996334167,1.18291709438,19320.849898,9.86894009738,-0.889549674049
HRV,2009,0.36971,-0.591192244172,-0.463665443413,1.09563478231,18023.723935,9.79944416547,-1.07068569787
HRV,2010,0.37656,-0.523266807414,-0.540405534123,0.966001184138,17824.212742,9.78831307836,-1.09969805594
HRV,2011,0.41436,-0.148437389972,-0.537709604033,0.970555298091,17860.193484,9.79032968774,-1.09444191223
HRV,2012,0.43085,0.0150794643571,-0.592354856612,0.878245520385,17561.229903,9.77344890477,-1.13844042873
HRV,2013,0.44735,0.178695479907,-0.658996903969,0.765670094576,17659.873735,9.77905032436,-1.12384074146
HRV,2014,0.46955,0.398833391738,-0.762002407369,0.591667511136,17704.748593,9.78158816467,-1.11722604776
HRV,2015,0.46289,0.332792018189,-0.810501786205,0.50973968268,18311.569871,9.81528837244,-1.02938894032
HRV,2016,0.41052,-0.186515299045,-0.836570779951,0.465702499134,19183.799656,9.86182143393,-0.908103945606
HRV,2017,0.44544,0.159755686592,-0.837667291447,0.463850211375,20107.777025,9.90886193588,-0.785496344715
HRV,2018,0.48653,0.567209145923,-0.83774957434,0.463711214569,20966.665636,9.95068910486,-0.676476911931
HRV,2019,0.48511,0.553128252463,-0.868927947669,0.411042984935,21831.214139,9.99109606591,-0.571159146447
HRV,2020,0.44805,0.185636765416,-1.03713686319,0.126895197753,20213.9,9.91412576556,-0.771776560675
HRV,2021,0.47442,0.447124906631,-1.02382754699,0.149378029503,22969.458848,10.0419207363,-0.438688389389
HRV,2022,0.47683,0.471022761024,-0.908901720767,0.343517080403,24764.251029,10.1171564014,-0.242592174055
HRV,2023,,,-0.900057206865,0.358457721604,25678.121448,10.1533946028,-0.148139973424
HRV,2024,,,-0.941367926505,0.288673373159,26580.469944,10.1879320125,-0.0581207609159
HUN,1995,0.43505,0.0567271774063,-0.494360046536,1.04378376401,11943.1301,9.38791150502,-2.14331524242
HUN,1996,0.45593,0.263775807993,-0.55342676637,0.944004999704,11975.86346,9.3906485249,-2.13618140185
HUN,1997,0.47309,0.433936464166,-0.569570414286,0.916734258327,12357.29803,9.42200210113,-2.05446061655
HUN,1998,0.50723,0.772472874522,-0.609324758842,0.849579024602,12862.619275,9.46208065318,-1.9499988249
HUN,1999,0.52925,0.990825884366,-0.674720032956,0.739109716992,13297.245555,9.49531219163,-1.86338326948
HUN,2000,0.55086,1.20511328413,-0.677489088885,0.734432074833,13919.634025,9.54105564224,-1.74415633734
HUN,2001,0.53067,1.00490677782,-0.71295581067,0.67451973022,14518.381735,9.58317083141,-1.63438620115
HUN,2002,0.50622,0.762457591146,-0.677035549061,0.735198219345,15248.517515,9.63223756518,-1.50649737639
HUN,2003,0.5094,0.793990859598,-0.627589117676,0.818725861256,15894.546745,9.67373135737,-1.39834686565
HUN,2004,0.50862,0.786256284317,-0.660743714371,0.762719286001,16720.38214,9.72438374164,-1.26632515973
HUN,2005,0.49622,0.663296369601,-0.661665173984,0.761162705547,17474.15868,9.76847842174,-1.15139562637
HUN,2006,0.52731,0.971588607386,-0.728139464134,0.648870664475,18189.973615,9.80862582099,-1.04675438957
HUN,2007,0.56197,1.31528140126,-0.694689366424,0.70537641636,18278.626465,9.81348770351,-1.03408225116
HUN,2008,0.55125,1.20898057177,-0.585336187693,0.890101843434,18492.52988,9.82512213925,-1.003757952
HUN,2009,0.5374,1.07164227993,-0.738622233802,0.631162591183,17272.75759,9.75688583355,-1.18161085296
HUN,2010,0.55997,1.29544915695,-0.719698521938,0.663129570072,17496.89018,9.76977844012,-1.14800722428
HUN,2011,0.57592,1.45361130532,-0.666988603438,0.752170074599,17882.87105,9.7915986091,-1.09113456224
HUN,2012,0.59593,1.65203290963,-0.827938415622,0.480284765566,17746.709365,9.78395538983,-1.11105604988
HUN,2013,0.5947,1.63983607938,-0.885569934322,0.38293042225,18182.244905,9.80820084223,-1.04786206537
HUN,2014,0.59951,1.68753262694,-0.902754776636,0.353900837811,19046.951165,9.85466232391,-0.92676363814
HUN,2015,0.60236,1.71579357509,-0.972585818846,0.235938385828,19815.275865,9.89420842756,-0.823689634022
HUN,2016,0.61051,1.79660997064,-1.06109688791,0.0864206011365,20377.42586,9.92218299164,-0.750775994814
HUN,2017,0.60157,1.70795983858,-1.08313623769,0.0491905146467,21289.86827,9.96598657046,-0.63660519547
HUN,2018,0.57625,1.45688362563,-1.08546053595,0.0452641817047,22529.18965,10.0225670652,-0.489132306637
HUN,2019,0.5694,1.38895818887,-1.09222436644,0.0338383458013,23702.58968,10.0733395904,-0.356797462326
HUN,2020,0.56434,1.33878261077,-1.17792874646,-0.110938224806,22731.5,10.0315069068,-0.46583126856
HUN,2021,0.55262,1.22256565912,-1.183723867,-0.120727662384,24473.414845,10.105342699,-0.273383718627
HUN,2022,0.56531,1.34840124926,-1.09302671908,0.032482967414,25558.162025,10.1487119977,-0.160344838559
