country,year,household_credit_mio_eur,y_nominal_mio_eur,exports_mio_eur,imports_mio_eur,debt_ratio_latest,gdp_per_capita_eur,unemployment_rate,y_real,gc_real,gi_nominal_mio_eur,fiscal_T,household_credit_to_gdp,log_hh_credit_to_gdp,liq_raw,trade_raw,debt_raw,log_gdp_pc_raw,unemployment_raw,credit_resid_raw,output_gap_raw,gov_size_raw,gi_share_raw,pb_balance_raw,liq_z,trade_z,debt_z,log_gdp_pc_z,unemployment_z,gov_size_z,gi_share_z,credit_resid_z,output_gap_z,pb_balance_z,liq_z_lag1,credit_resid_z_lag1,trade_z_lag1,debt_z_lag1,log_gdp_pc_z_lag1,output_gap_z_lag1,unemployment_z_lag1,pb_balance_z_lag1,gov_size_z_lag1,gi_share_z_lag1,nominal_gdp_mio_eur,gdp_pc_current_pps,gdp_pc_real_index_2020,hh_currency_deposits_assets_mio_eur,hh_total_financial_assets_mio_eur,hh_total_financial_liabilities_mio_eur,gdp_pc_2020_pps_anchor,real_ppp_gdp_pc_2020pps,log_real_ppp_gdp_pc_raw,hh_currency_deposits_to_gdp,liq_fa_deposits_raw,hh_net_financial_worth_to_gdp,liq_fa_net_worth_raw,tiva2022_cons_import_content_raw,tiva2022_gfcf_import_content_raw,tiva2022_avg_import_content_raw,tiva_cf2024_cons_import_content_raw,tiva_cf2024_gfcf_import_content_raw,tiva_cf2024_avg_import_content_raw,figaro2023_cons_import_content_raw,figaro2023_gfcf_import_content_raw,figaro2023_avg_import_content_raw
AUT,2005,131687.100000000,252354.900000000,123530.600000000,115385.800000000,69.400000000,30680,,303962.800000000,60781.900000000,7574.100000000,0.490842460,0.521832942,-0.650407776,-1.172011322,0.392740000,69.400000000,10.471538880,,,,0.199964930,0.030013683,0.490842460,-0.100942185,-0.362823951,0.188217091,0.681079635,,0.099431263,-0.781901736,,,,-0.048395470,,-0.290138776,0.092231889,0.639028143,,,,0.115157509,-1.241531895,252354.900000000,28495.100000000,94.412000000,182401.100000000,428435.900000000,132673.100000000,37385.600000000,35296.492672000,10.471538880,0.722795951,0.324628322,1.172011322,-1.172011322,0.254040000,0.392740000,0.323390000,0.254040000,0.392740000,0.323390000,,,
AUT,2006,140166.200000000,265933.700000000,136166.400000000,126538.100000000,68.200000000,32160,,313900.300000000,62858.500000000,7858.900000000,0.483113648,0.527071973,-0.640418168,-1.187469283,0.399500000,68.200000000,10.498530127,,,,0.200249888,0.029552103,0.483113648,-0.127054625,-0.295790965,0.155307879,0.751430331,,0.108144976,-0.824523161,,,,-0.100942185,,-0.362823951,0.188217091,0.681079635,,,,0.099431263,-0.781901736,265933.700000000,29734.700000000,96.995000000,186348.100000000,456961.100000000,141173.000000000,37385.600000000,36262.162720000,10.498530127,0.700731423,0.355630600,1.187469283,-1.187469283,0.261220000,0.399500000,0.330360000,0.261220000,0.399500000,0.330360000,,,
AUT,2007,146343.800000000,282208.200000000,149261.300000000,136799.000000000,65.800000000,34020,,325750.800000000,63721.700000000,8572.900000000,0.483501542,0.518566789,-0.656686448,-1.184510585,0.400570000,65.800000000,10.532305548,,,,0.195614869,0.030377927,0.483501542,-0.122056629,-0.285180714,0.089489454,0.839463474,,-0.033588823,-0.748268210,,,,-0.127054625,,-0.295790965,0.155307879,0.751430331,,,,0.108144976,-0.824523161,282208.200000000,30945.900000000,100.327000000,197512.700000000,481859.700000000,147581.100000000,37385.600000000,37507.850912000,10.532305548,0.699882923,0.356842210,1.184510585,-1.184510585,0.259920000,0.400570000,0.330245000,0.259920000,0.400570000,0.330245000,,,
AUT,2008,152934.500000000,291846.200000000,156424.900000000,143428.700000000,69.500000000,35070,,330484.900000000,66036.200000000,9658.700000000,0.488327756,0.524024298,-0.646217226,-1.097636015,0.401260000,69.500000000,10.543555041,,,,0.199816088,0.033095171,0.488327756,0.024696690,-0.278338590,0.190959526,0.868784448,,0.094879854,-0.497363220,,,,-0.122056629,,-0.285180714,0.089489454,0.839463474,,,,-0.033588823,-0.748268210,291846.200000000,31853.900000000,101.462000000,210742.400000000,474801.700000000,154460.800000000,37385.600000000,37932.177472000,10.543555041,0.722100887,0.325590417,1.097636015,-1.097636015,0.263840000,0.401260000,0.332550000,0.263840000,0.401260000,0.332550000,,,
AUT,2009,153705.700000000,286274.100000000,130217.300000000,120560.300000000,80.800000000,34320,5.700000000,318632.800000000,67308.900000000,9806.300000000,0.492164328,0.536917940,-0.621910008,-1.242193408,0.377020000,80.800000000,10.504645726,5.700000000,,,0.211242848,0.034254933,0.492164328,-0.219497640,-0.518705391,0.500854609,0.767370187,-0.612700306,0.444297586,-0.390273166,,,,0.024696690,,-0.278338590,0.190959526,0.868784448,,,,0.094879854,-0.497363220,286274.100000000,30722.400000000,97.590000000,220040.300000000,510557.900000000,154950.100000000,37385.600000000,36484.607040000,10.504645726,0.768635025,0.263139032,1.242193408,-1.242193408,0.243890000,0.377020000,0.310455000,0.243890000,0.377020000,0.310455000,,,
AUT,2010,161051.600000000,294050.600000000,151683.000000000,141323.400000000,83.700000000,35170,5.200000000,324396.900000000,67343.300000000,9673.800000000,0.488926396,0.547700294,-0.602027051,-1.263604631,0.411250000,83.700000000,10.520232200,5.200000000,,,0.207595387,0.032898420,0.488926396,-0.255666660,-0.179276530,0.580385205,0.807995183,-0.726555369,0.332762252,-0.515530894,,,,-0.219497640,,-0.518705391,0.500854609,0.767370187,,-0.612700306,,0.444297586,-0.390273166,294050.600000000,31605.600000000,99.123000000,222933.200000000,533951.800000000,162388.100000000,37385.600000000,37057.728288000,10.520232200,0.758145707,0.276879686,1.263604631,-1.263604631,0.264850000,0.411250000,0.338050000,0.264850000,0.411250000,0.338050000,0.231556790,0.388125783,0.309841286
AUT,2011,164564.500000000,308167.000000000,167310.300000000,158653.700000000,83.400000000,36740,4.900000000,333893.500000000,67325.900000000,9393.500000000,0.488590926,0.534010780,-0.627339253,-1.207897341,0.428840000,83.400000000,10.545799666,4.900000000,,,0.201638846,0.030481849,0.488590926,-0.161562830,-0.004851941,0.572157902,0.874634900,-0.794868407,0.150617774,-0.738672214,,,,-0.255666660,,-0.179276530,0.580385205,0.807995183,,-0.726555369,,0.332762252,-0.515530894,308167.000000000,32928.800000000,101.690000000,228533.200000000,538048.000000000,165813.900000000,37385.600000000,38017.416640000,10.545799666,0.741588814,0.298960349,1.207897341,-1.207897341,0.278790000,0.428840000,0.353815000,0.278790000,0.428840000,0.353815000,0.239806968,0.398784503,0.319295736
AUT,2012,165143.700000000,316589.400000000,171988.800000000,163092.000000000,82.900000000,37570,5.200000000,335991.100000000,67290.600000000,9361.500000000,0.495766125,0.521633700,-0.650789662,-1.241855539,0.428710000,82.900000000,10.547568187,5.200000000,,,0.200274948,0.029569847,0.495766125,-0.218926892,-0.006141037,0.558445730,0.879244419,-0.726555369,0.108911268,-0.822884718,,,,-0.161562830,,-0.004851941,0.572157902,0.874634900,,-0.794868407,,0.150617774,-0.738672214,316589.400000000,34099.800000000,101.870000000,232685.800000000,562011.400000000,168853.100000000,37385.600000000,38084.710720000,10.547568187,0.734976597,0.307916620,1.241855539,-1.241855539,0.278630000,0.428710000,0.353670000,0.278630000,0.428710000,0.353670000,0.244722705,0.403070810,0.323896758
AUT,2013,166168.200000000,321191.700000000,173089.600000000,164114.700000000,82.400000000,37890,5.700000000,335148.700000000,67752.100000000,9899.000000000,0.504351140,0.517348985,-0.659037613,-1.295861630,0.433530000,82.400000000,10.539030817,5.700000000,,,0.202155342,0.030819601,0.504351140,-0.310156963,0.041654672,0.544733559,0.856992392,-0.612700306,0.166411650,-0.707484887,,,,-0.218926892,,-0.006141037,0.558445730,0.879244419,,-0.726555369,,0.108911268,-0.822884718,321191.700000000,34310.400000000,101.004000000,236786.200000000,586464.700000000,170244.700000000,37385.600000000,37760.951424000,10.539030817,0.737211453,0.304880517,1.295861630,-1.295861630,0.278990000,0.433530000,0.356260000,0.278990000,0.433530000,0.356260000,0.244437694,0.397677177,0.321057435
AUT,2014,170227.400000000,330113.500000000,177786.400000000,167171.400000000,85.200000000,38640,6.000000000,337681.800000000,68246.200000000,9921.900000000,0.504726708,0.515663249,-0.662301344,-1.322563603,0.416090000,85.200000000,10.538723851,6.000000000,,,0.202102097,0.030056026,0.504726708,-0.355263410,-0.131282499,0.621521721,0.856192308,-0.544387269,0.164783492,-0.777991861,,,,-0.310156963,,0.041654672,0.544733559,0.856992392,,-0.612700306,,0.166411650,-0.707484887,330113.500000000,34668.500000000,100.973000000,244095.200000000,610298.600000000,173702.500000000,37385.600000000,37749.361888000,10.538723851,0.739428106,0.301878222,1.322563603,-1.322563603,0.271710000,0.416090000,0.343900000,0.271710000,0.416090000,0.343900000,0.243678888,0.394873950,0.319276419
AUT,2015,175509.900000000,342083.500000000,182659.000000000,170089.300000000,85.600000000,39640,6.100000000,342083.500000000,68856.500000000,10239.700000000,0.507388985,0.513061577,-0.667359408,-1.307132031,0.414620000,85.600000000,10.541710286,6.100000000,,,0.201285651,0.029933335,0.507388985,-0.329195546,-0.145859198,0.632491458,0.863976230,-0.521616256,0.139817463,-0.789320922,,,,-0.355263410,,-0.131282499,0.621521721,0.856192308,,-0.544387269,,0.164783492,-0.777991861,342083.500000000,35681.900000000,101.275000000,251653.500000000,626126.200000000,178977.900000000,37385.600000000,37862.266400000,10.541710286,0.735649337,0.307001718,1.307132031,-1.307132031,0.263760000,0.414620000,0.339190000,0.263760000,0.414620000,0.339190000,0.239158581,0.396469349,0.317813965
AUT,2016,181361.500000000,355665.600000000,187305.600000000,173956.400000000,83.400000000,40690,6.500000000,349326.200000000,69836.100000000,10642.400000000,0.491883387,0.509921398,-0.673498687,-1.314715002,0.412180000,83.400000000,10.549960533,6.500000000,,,0.199916582,0.029922489,0.491883387,-0.342005120,-0.170054536,0.572157902,0.885479891,-0.430532206,0.097952845,-0.790322420,,,,-0.329195546,,-0.145859198,0.632491458,0.863976230,,-0.521616256,,0.139817463,-0.789320922,355665.600000000,36385.100000000,102.114000000,263040.300000000,652006.400000000,184407.500000000,37385.600000000,38175.931584000,10.549960533,0.739571946,0.301683711,1.314715002,-1.314715002,0.261770000,0.412180000,0.336975000,0.261770000,0.412180000,0.336975000,0.233793332,0.405612749,0.319703040
AUT,2017,184475.100000000,367294.900000000,199536.700000000,188165.300000000,79.100000000,41760,5.900000000,357263.800000000,70265.500000000,11421.200000000,0.490453039,0.502253366,-0.688650573,-1.354618319,0.429010000,79.100000000,10.566124699,5.900000000,,,0.196676797,0.031095449,0.490453039,-0.409412006,-0.003166200,0.454233225,0.927610599,-0.567158281,-0.001116215,-0.682013576,,,,-0.342005120,,-0.170054536,0.572157902,0.885479891,,-0.430532206,,0.097952845,-0.790322420,367294.900000000,37012.200000000,103.778000000,271041.900000000,685145.300000000,187600.900000000,37385.600000000,38798.027968000,10.566124699,0.737940821,0.303891646,1.354618319,-1.354618319,0.268120000,0.429010000,0.348565000,0.268120000,0.429010000,0.348565000,0.238960141,0.419439586,0.329199863
AUT,2018,189750.600000000,383234.300000000,213470.100000000,201871.500000000,74.600000000,43360,5.200000000,366139.000000000,70955.200000000,11820.000000000,0.493879332,0.495129481,-0.702935973,-1.315318070,0.444400000,74.600000000,10.585827561,5.200000000,,,0.193793068,0.030842751,0.493879332,-0.343023856,0.149442920,0.330823678,0.978964656,-0.726555369,-0.089297499,-0.705347272,,,,-0.409412006,,-0.003166200,0.454233225,0.927610599,,-0.567158281,,-0.001116215,-0.682013576,383234.300000000,38419.400000000,105.843000000,282344.800000000,697300.700000000,193225.700000000,37385.600000000,39570.040608000,10.585827561,0.736741988,0.305517532,1.315318070,-1.315318070,0.273610000,0.444400000,0.359005000,0.273610000,0.444400000,0.359005000,0.242631760,0.418609664,0.330620712
AUT,2019,195448.000000000,395706.800000000,221183.500000000,207000.100000000,71.000000000,44570,4.800000000,372564.600000000,71854.000000000,12415.200000000,0.496103428,0.493921257,-0.705379174,-1.347345813,0.441220000,71.000000000,10.598716188,4.800000000,,,0.192863197,0.031374745,0.496103428,-0.397126887,0.117909651,0.232096041,1.012557912,-0.817639420,-0.117731908,-0.656223966,,,,-0.343023856,,0.149442920,0.330823678,0.978964656,,-0.726555369,,-0.089297499,-0.705347272,395706.800000000,39263.800000000,107.216000000,292276.000000000,732700.700000000,199546.800000000,37385.600000000,40083.344896000,10.598716188,0.738617583,0.302974972,1.347345813,-1.347345813,0.272600000,0.441220000,0.356910000,0.272600000,0.441220000,0.356910000,0.240161090,0.413053270,0.326607180
AUT,2020,200809.800000000,380317.900000000,196484.000000000,183637.000000000,83.200000000,42650,6.000000000,349025.100000000,71266.500000000,12646.900000000,0.491084695,0.528005124,-0.638649291,-1.513781234,0.420600000,83.200000000,10.529040883,6.000000000,,,0.204187321,0.033253497,0.491084695,-0.678278790,-0.086560788,0.566673034,0.830954365,-0.544387269,0.228547329,-0.482743780,,,,-0.397126887,,0.117909651,0.232096041,1.012557912,,-0.817639420,,-0.117731908,-0.656223966,380317.900000000,37385.600000000,100.000000000,313789.100000000,781127.400000000,205409.300000000,37385.600000000,37385.600000000,10.529040883,0.825070553,0.192286378,1.513781234,-1.513781234,0.267440000,0.420600000,0.344020000,0.267440000,0.420600000,0.344020000,0.232878685,0.400004404,0.316441545
AUT,2021,209978.100000000,406231.500000000,227302.500000000,223748.200000000,82.400000000,45380,6.200000000,366207.900000000,76776.500000000,14551.000000000,0.503330244,0.516892708,-0.659919955,-1.552816559,0.447610000,82.400000000,10.573220434,6.200000000,,,0.209652768,0.035819477,0.503330244,-0.744219416,0.181273672,0.544733559,0.946105110,-0.498845244,0.395674709,-0.245806208,,,,-0.678278790,,-0.086560788,0.566673034,0.830954365,,-0.544387269,,0.228547329,-0.482743780,406231.500000000,40185.600000000,104.517000000,326636.300000000,845154.700000000,214351.700000000,37385.600000000,39074.307552000,10.573220434,0.804064431,0.218075875,1.552816559,-1.552816559,0.289000000,0.447610000,0.368305000,0.289000000,0.447610000,0.368305000,0.251694059,0.418498038,0.335096049
AUT,2022,216475.400000000,449382.200000000,276043.400000000,279301.200000000,78.100000000,49640,4.800000000,385730.300000000,76779.200000000,15463.200000000,0.495546998,0.481717789,-0.730396835,-1.377662934,0.466610000,78.100000000,10.613896604,4.800000000,,,0.199048921,0.034409908,0.495546998,-0.448340242,0.369679993,0.426808881,1.052124549,-0.817639420,0.071420717,-0.375963077,,,,-0.744219416,,0.181273672,0.544733559,0.946105110,,-0.498845244,,0.395674709,-0.245806208,449382.200000000,44569.500000000,108.856000000,331416.900000000,840005.100000000,220907.900000000,37385.600000000,40696.468736000,10.613896604,0.737494498,0.304496651,1.377662934,-1.377662934,0.310680000,0.466610000,0.388645000,0.310680000,0.466610000,0.388645000,0.266454974,0.443597261,0.355026118
AUT,2023,213228.400000000,477837.300000000,279471.600000000,270772.000000000,77.800000000,52330,5.100000000,382697.500000000,77277.900000000,17662.300000000,0.497492975,0.446236407,-0.806906406,,,,,5.100000000,,,0.201929461,0.036963000,0.497492975,,,,,-0.749326382,0.159504472,-0.140215614,,,,-0.448340242,,0.369679993,0.426808881,1.052124549,,-0.817639420,,0.071420717,-0.375963077,477837.300000000,46390.300000000,107.080000000,333252.300000000,874348.700000000,217843.500000000,37385.600000000,40032.500480000,10.597446915,0.697417929,0.360370437,1.373909488,-1.373909488,,,,0.310680000,0.466610000,0.388645000,0.255114116,0.428441962,0.341778039
AUT,2024,211851.600000000,494087.600000000,275099.500000000,262595.100000000,80.000000000,53830,5.200000000,380175.200000000,80226.100000000,19443.100000000,0.506466465,0.428773359,-0.846826800,,,,,5.200000000,,,0.211024023,0.039351524,0.506466465,,,,,-0.726555369,0.437606159,0.080335972,,,,,,,,,,-0.749326382,,0.159504472,-0.140215614,494087.600000000,47527.500000000,105.827000000,350202.300000000,922515.900000000,216925.700000000,37385.600000000,39564.058912000,10.585676382,0.708785851,0.344201842,1.428067007,-1.428067007,,,,0.310680000,0.466610000,0.388645000,,,
BEL,1995,82955.100000000,220251.500000000,132402.800000000,123922.700000000,131.500000000,21730,,287871.300000000,72812.800000000,4888.300000000,0.481365167,0.376638071,-0.976470578,-2.207435591,0.434270000,131.500000000,10.229455434,,,,0.252935253,0.022194173,0.481365167,-1.850038027,0.048992602,1.891268831,0.050106975,,1.719205495,-1.503939755,,,,,,,,,,,,,,220251.500000000,18796.600000000,77.286000000,157372.400000000,575733.900000000,89542.900000000,35850.500000000,27707.417430000,10.229455434,0.714512273,0.336155104,2.207435591,-2.207435591,0.275310000,0.434270000,0.354790000,0.275310000,0.434270000,0.354790000,,,
BEL,1996,84926.000000000,219965.300000000,134602.000000000,127624.700000000,129.200000000,21660,,291675.400000000,73918.100000000,4572.600000000,0.490496001,0.386088169,-0.951689518,-2.316398086,0.455000000,129.200000000,10.240636641,,,,0.253425897,0.020787824,0.490496001,-2.034103491,0.254553814,1.828192841,0.079249969,,1.734208872,-1.633799253,,,,-1.850038027,,0.048992602,1.891268831,0.050106975,,,,1.719205495,-1.503939755,219965.300000000,19271.700000000,78.155000000,160686.300000000,600789.300000000,91262.100000000,35850.500000000,28018.958275000,10.240636641,0.730507494,0.314015790,2.316398086,-2.316398086,0.279320000,0.455000000,0.367160000,0.279320000,0.455000000,0.367160000,,,
BEL,1997,89273.300000000,223032.700000000,144495.300000000,135832.200000000,124.300000000,21910,,302740.600000000,74817.300000000,4708.600000000,0.494504169,0.400270005,-0.915615946,-2.427096565,0.460610000,124.300000000,10.275502477,,,,0.247133354,0.021111702,0.494504169,-2.221101472,0.310183260,1.693813557,0.170125201,,1.541789826,-1.603892983,,,,-2.034103491,,0.254553814,1.828192841,0.079249969,,,,1.734208872,-1.633799253,223032.700000000,19857.500000000,80.928000000,169142.800000000,637177.400000000,95855.500000000,35850.500000000,29013.092640000,10.275502477,0.758376686,0.276575069,2.427096565,-2.427096565,0.286140000,0.460610000,0.373375000,0.286140000,0.460610000,0.373375000,,,
BEL,1998,97119.200000000,231015.700000000,148252.800000000,139844.900000000,119.300000000,22640,,308679.800000000,76111.900000000,4755.800000000,0.499344417,0.420400865,-0.866546584,-2.480208488,0.460760000,119.300000000,10.292799623,,,,0.246572338,0.020586480,0.499344417,-2.310821065,0.311670678,1.556691839,0.215208937,,1.524634562,-1.652391018,,,,-2.221101472,,0.310183260,1.693813557,0.170125201,,,,1.541789826,-1.603892983,231015.700000000,20277.900000000,82.340000000,171391.900000000,672222.100000000,99255.000000000,35850.500000000,29519.301700000,10.292799623,0.741905853,0.298532926,2.480208488,-2.480208488,0.285960000,0.460760000,0.373360000,0.285960000,0.460760000,0.373360000,,,
BEL,1999,101994.700000000,242307.600000000,156441.200000000,146855.200000000,115.400000000,23690,,319615.500000000,77926.800000000,5695.500000000,0.498483745,0.420930668,-0.865287142,-2.617430489,0.457150000,115.400000000,10.325264227,,,,0.243814208,0.023505247,0.498483745,-2.542624046,0.275873477,1.449736899,0.299825533,,1.440293977,-1.382877820,,,,-2.310821065,,0.311670678,1.556691839,0.215208937,,,,1.524634562,-1.652391018,242307.600000000,21261.200000000,85.057000000,171564.200000000,739092.700000000,104869.400000000,35850.500000000,30493.359785000,10.325264227,0.708043000,0.345250453,2.617430489,-2.617430489,0.282800000,0.457150000,0.369975000,0.282800000,0.457150000,0.369975000,,,
